id,title,date,instrumentation,blurb,edit,proof,draft,page,comments,video url,embed
1,iminlovewithanothergirl.com,Jan 2013,"for snare drum, microphone, & DMX lights",iminlovewithanothergirl.com is a solo audio/visual piece that focuses on form as prime compositional material.,,,,http://www.rodrigoconstanzo.com/2013/09/com-pieces/,,https://www.youtube.com/watch?v=wdUwYcjpc2c,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/wdUwYcjpc2c?rel=0"" frameborder=""0"" allowfullscreen></iframe>"
2,ialreadyforgotyourpussy.com,Jun 2013,for amplified wind instrument and amplified snare drum,ialreadyforgotyourpussy.com is a duet that focuses on memory as prime compositional material.,,,,http://www.rodrigoconstanzo.com/2013/09/com-pieces/,,https://www.youtube.com/watch?v=mnSiAciSka4,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/mnSiAciSka4?rel=0"" frameborder=""0"" allowfullscreen></iframe>"
3,dfscore system,May 2014,software system,The dfscore system is a realtime dynamic score system built to function over a local network to display a variety of musical material.,,,,(new blog),"include iscore, shackle, etc…",,
4,pitchy,Sep 2014,for soloist and variable ensemble,"pitchy is a piece for the dfscore system in which a solo performer randomly generates, stores, and recalls a harmonic accompaniment.",,,,,,https://www.youtube.com/watch?v=L4fESNOhaQs,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/L4fESNOhaQs?rel=0"" frameborder=""0"" allowfullscreen></iframe>"
5,Hands,Jul 2015,"for winds, guitars, and rhythm section",Hands is a piece for the dfscore system which is made up of blocks of material that are probabilistically restructured and orchestrated. ,,,,,,,
6,C-C-Combine,Aug 2012,software system,C-C-Combine is a corpus-based audio mosiacing application built to map arbitrary input to arbitrary output.,X,X,,http://www.rodrigoconstanzo.com/combine/,,,
7,Grassi Box,Jul 2014,software system,The Grassi Box is a MIDI-to-relay piece of hardware and set of software tools made to control ciat-lonbarde instruments from a computer.,X,X,,http://www.rodrigoconstanzo.com/grassi-box/,,,
8,Everything. Everything at once. Once. (1),Oct 2013,for variable instrumentation,Everything. Everything at once. Once. is a series of improvised pieces that focuses on the curation of instruments as the prime compositional material.,X,X,,http://www.rodrigoconstanzo.com/2013/10/everything-at-once/,,,
9,Everything. Everything at once. Once. (2),Feb 2014,for variable instrumentation,Everything. Everything at once. Once. is a series of improvised pieces that focuses on the curation of instruments as the prime compositional material.,X,X,,http://www.rodrigoconstanzo.com/2014/03/everything-everything-at-once-once-2/,,,
10,Everything. Everything at once. Once. (3),Feb 2015,for variable instrumentation,Everything. Everything at once. Once. is a series of improvised pieces that focuses on the curation of instruments as the prime compositional material.,X,X,,http://www.rodrigoconstanzo.com/2015/02/everything-everything-at-once-once-3/,,,
11,Battle Pieces,Dec 2012,for drum set and saxophone,"The Battle Pieces are a series of pieces that focuses on complex games, improvisational etudes, and competition.",,,,http://www.rodrigoconstanzo.com/2013/02/strikethrough-me-you-battle-pieces/,,,
12,The Party Van,Apr 2014,software system,The Party Van is a live performance patch with dozens of modules and effects covering a wide range of processing and synthesis techniques.,X,X,,http://www.rodrigoconstanzo.com/the-party-van/,add kelly/stuart quotes about chocolate grinder,,
13,karma~,May 2015,software system,"karma~ is a looper/sampler external for Max. It is a dynamic length, varispeed looper with some complex features.",X,X,,http://www.rodrigoconstanzo.com/2015/05/karma/,,https://www.youtube.com/watch?v=ef_oRaRmKhk,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/ef_oRaRmKhk?rel=0"" frameborder=""0"" allowfullscreen></iframe>"
14,Making Decisions in Time,May 2015,analysis framework,Making Decisions in Time is a conceptual framework and set of analysis tools for thinking about and analyzing improvisation.,,,,http://www.rodrigoconstanzo.com/2015/04/making-decisions-in-time/,,,
15,Cut Glove,Jun 2015,software system,Cut Glove and it’s a live-sampling and processing patch that contains mappings based on video game mechanisms and metaphors.,X,X,,http://www.rodrigoconstanzo.com/2015/06/cut-glove/,,,
16,"an amplifier, a mirror, an explosion, an intention",Nov 2013,for linda jankowska,an amplifier is a piece that focuses on time resonances and decision streaming as prime compositional material.,,,,http://www.rodrigoconstanzo.com/2013/12/an-amplifier/,,,
17,the keys to everything that has ever existed,Dec 2014,for four performers,the keys to everything focuses on the difficulty in engaging in multiple layers of nested games and behaviors.,,,,,,,
18,Demo Piece,Jul 2014,for three performers,Demo Piece is a piece for the dfscore system which focuses on synchronicity/asynchronicity as a compositional parameter in improvised performance.,,,,,,,
19,The Chocolate Grinder,Feb 2012,software system,The Chocolate Grinder is a software emulation of a skipping/glitchy CD player.,,,,http://www.rodrigoconstanzo.com/2012/02/the-chocolate-grinder/,,https://www.youtube.com/watch?v=D740gOiY7Yc,
20,Improvisation,,concept,Created spontaneously or without preparation.,,,,,,,
21,Improvisation,,concept,Created spontaneously or without preparation.,,,,,,,
22,Meta-creative Practice,,concept,,,,,,,,
23,Time Resonance,,concept,"In a non-linear view of time, a resonance is a ‘harmonic’ of a moment in time. It is a re-manifestation of aspects of that ‘time fundamental’. ",,,,,,,
24,Time Travel,,concept,Experiencing non-linear time through a creative practice.,,,,,,,
25,Meta,,concept,,,,,,,,
26,Takahashi’s Shellfish Concern,Mar 2007,performance group,Takahashi's Shellfish Concern merges sonic and visual information into a single transmission during improvised performances.,,,,http://www.takahashisshellfishconcern.com,,,
27,Sol Improv Gig (feedback),May 2012,single performance,The initial solo improv performance in which I came came across the idea of using a microphone in the manner I do in the .com pieces.,,,,,,,
28,The Invention of the History of Visual Art,Sep 2015,video,,,,,,,,
29,Titles,,concept,,,,,http://www.rodrigoconstanzo.com/2015/05/titles/,,,
30,Improv Etude,,concept,"Something that is difficult to do in an improvised manner, generally charging the performance with a perceivable tension.",,,,,,,
31,Bach Prelude in F minor #12,Apr 2007,for piano and skipping CD player,The first piece in which I used a skipping CD player based on a ,,,,http://rodrigoconstanzo.bandcamp.com/track/bach-prelude-in-f-minor-12-ii,,,